Query,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,min,max,median,avg,stddev
1,0.407623,0.331161,0.324095,0.32391,0.325815,0.324555,0.323863,0.325801,0.324234,0.323814,0.323814,0.407623,0.3243945,0.3334871,0.02614278418
2,0.0269737,0.0255347,0.0243361,0.0243151,0.0241113,0.0241292,0.0241192,0.0240921,0.0241813,0.0241166,0.0240921,0.0269737,0.02415525,0.02459093,0.0009437926432
3,0.613442,0.567765,0.560953,0.568924,0.561428,0.564638,0.564944,0.562869,0.563029,0.562637,0.560953,0.613442,0.5638335,0.5690629,0.01580393813
4,0.381342,0.377,0.37097,0.36958,0.370561,0.370791,0.375774,0.370825,0.370267,0.371156,0.36958,0.381342,0.3708975,0.3728266,0.003876271353
5,0.428714,0.426822,0.41751,0.419889,0.416818,0.41818,0.44063,0.413692,0.417528,0.416052,0.413692,0.44063,0.417854,0.4215835,0.008193045523
6,0.0854322,0.0849963,0.0850239,0.0850117,0.0850184,0.0850958,0.0849579,0.0891199,0.0851305,0.0850798,0.0849579,0.0891199,0.08505185,0.08548664,0.001283553948
7,0.404353,0.389001,0.390961,0.389792,0.394673,0.390129,0.390719,0.390493,0.390166,0.392822,0.389001,0.404353,0.390606,0.3923109,0.00453597505
8,0.219506,0.218545,0.218711,0.218471,0.218644,0.218492,0.218423,0.218654,0.218801,0.222693,0.218423,0.222693,0.218649,0.219094,0.001301851587
9,1.02147,1.02571,1.01004,1.02617,1.00889,1.02462,1.01001,1.01242,1.02121,1.01853,1.00889,1.02617,1.01987,1.017907,0.006943318211
10,0.402643,0.401751,0.400946,0.401695,0.401441,0.403895,0.401158,0.400831,0.401433,0.401738,0.400831,0.403895,0.401568,0.4017531,0.0009091484966
11,0.0554713,0.053573,0.0507493,0.0507445,0.0507349,0.0508367,0.0508338,0.0510932,0.0504813,0.050486,0.0504813,0.0554713,0.05079155,0.0515004,0.001663446259
12,0.194973,0.19501,0.19493,0.195098,0.195079,0.19487,0.194937,0.19487,0.198049,0.195337,0.19487,0.198049,0.1949915,0.1953153,0.0009704049613
13,1.76252,1.66412,1.6452,1.63091,1.63867,1.63353,1.62622,1.62825,1.66967,1.62608,1.62608,1.76252,1.6361,1.652517,0.04160862091
14,0.117995,0.117751,0.11773,0.117846,0.117657,0.117728,0.117746,0.117696,0.117719,0.117799,0.117657,0.117995,0.117738,0.1177667,0.00009561502671
15,0.174134,0.171944,0.172259,0.172269,0.174701,0.172168,0.172255,0.17202,0.172291,0.172292,0.171944,0.174701,0.172264,0.1726333,0.0009571276532
16,0.299848,0.299309,0.298257,0.303635,0.297717,0.297163,0.297781,0.297401,0.298555,0.298208,0.297163,0.303635,0.2982325,0.2987874,0.001894042719
17,0.257424,0.254422,0.2546,0.254261,0.254112,0.253744,0.253992,0.25391,0.255736,0.253833,0.253744,0.257424,0.2541865,0.2546034,0.001145857001
18,1.31104,1.13524,1.08401,1.06521,1.05634,1.06053,1.07902,1.07141,1.06065,1.05794,1.05634,1.31104,1.06831,1.098139,0.07835121873
19,0.714404,0.713815,0.712449,0.711873,0.715639,0.712374,0.711915,0.714847,0.712024,0.712031,0.711873,0.715639,0.7124115,0.7131371,0.001408607464
20,0.130941,0.129339,0.132675,0.129334,0.128839,0.128924,0.129569,0.129691,0.129271,0.129034,0.128839,0.132675,0.1293365,0.1297617,0.001183462439
21,0.628786,0.63275,0.628125,0.62866,0.627735,0.628749,0.626423,0.628423,0.631999,0.627865,0.626423,0.63275,0.6285415,0.6289515,0.001940369624
22,0.122546,0.122724,0.12285,0.12189,0.122806,0.12233,0.122266,0.12213,0.131938,0.122822,0.12189,0.131938,0.122635,0.1234302,0.003007174599
SUM,9.7615812,9.338283,9.2173803,9.2094883,9.1874296,9.1974717,9.2175559,9.1905382,9.2443631,9.1823654,9.1515383,9.8100789,9.20241815,9.27464567,0.177015122
