Query,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,min,max,median,avg,stddev
1,0.978384,0.46088,0.461992,0.470563,0.493452,0.455098,0.467342,0.478259,0.450703,0.477592,0.450703,0.978384,0.4689525,0.5194265,0.161743788
2,0.0980512,0.040288,0.0391145,0.0387696,0.0384894,0.0389338,0.0392396,0.0387536,0.0392537,0.0407665,0.0384894,0.0980512,0.03917705,0.04516599,0.01859552854
3,1.35608,0.93669,0.937772,0.951281,0.99326,1.0353,0.992271,0.934899,0.976359,0.963301,0.934899,1.35608,0.96983,1.0077213,0.1264673482
4,0.712098,0.533071,0.537485,0.53636,0.529645,0.535627,0.533947,0.533721,0.542762,0.545313,0.529645,0.712098,0.5359935,0.5540029,0.05574023662
5,0.730601,0.621975,0.621931,0.619428,0.618893,0.629992,0.609896,0.61006,0.613748,0.612227,0.609896,0.730601,0.6191605,0.6288751,0.03629253173
6,0.108996,0.109409,0.107684,0.108226,0.107467,0.107508,0.106107,0.106874,0.106478,0.107696,0.106107,0.109409,0.107596,0.1076445,0.0010355248
7,0.693688,0.668159,0.66632,0.653129,0.664386,0.681453,0.661348,0.642898,0.658233,0.652167,0.642898,0.693688,0.662867,0.6641781,0.0147282056
8,0.536687,0.347415,0.35164,0.347522,0.354677,0.342896,0.345036,0.348361,0.342764,0.342639,0.342639,0.536687,0.3474685,0.3659637,0.0601159656
9,1.73403,1.65157,1.63714,1.62159,1.61214,1.6455,1.64021,1.66825,1.69931,1.75699,1.61214,1.75699,1.648535,1.666673,0.04832413316
10,0.793082,0.740401,0.695282,0.734947,0.716789,0.74898,0.720081,0.7324,0.742462,0.740501,0.695282,0.793082,0.737674,0.7364925,0.02538655861
11,0.08001,0.0710164,0.0683186,0.0687227,0.0671727,0.0686903,0.0683836,0.0693311,0.0701076,0.0692446,0.0671727,0.08001,0.06898365,0.07009976,0.003635375147
12,0.570838,0.279301,0.300814,0.282968,0.278379,0.286061,0.285153,0.280863,0.280502,0.29145,0.278379,0.570838,0.2840605,0.3136329,0.09062472001
13,3.44166,2.8726,2.83033,2.8177,2.78219,2.77103,2.74915,2.76149,2.79042,2.76756,2.74915,3.44166,2.786305,2.858413,0.2082946787
14,0.294096,0.194562,0.194532,0.19956,0.201638,0.203205,0.200079,0.197881,0.196879,0.200302,0.194532,0.294096,0.1998195,0.2082734,0.03028845311
15,0.304281,0.265629,0.269866,0.266826,0.265378,0.268908,0.273001,0.289351,0.262245,0.263482,0.262245,0.304281,0.267867,0.2728967,0.01345413205
16,0.501843,0.467816,0.467989,0.469281,0.472352,0.466089,0.480766,0.466332,0.465845,0.463402,0.463402,0.501843,0.4679025,0.4721715,0.01148496553
17,0.484333,0.362474,0.361946,0.365831,0.379839,0.377518,0.372466,0.370267,0.372241,0.367898,0.361946,0.484333,0.371254,0.3814813,0.03660849889
18,2.35076,2.02786,1.9034,1.89667,1.89456,1.89215,1.90431,1.88451,1.89554,1.89239,1.88451,2.35076,1.896105,1.954215,0.1455221556
19,1.70852,1.15185,1.1444,1.15085,1.15189,1.14184,1.12289,1.11206,1.13431,1.11077,1.11077,1.70852,1.14312,1.192938,0.1818342039
20,0.212078,0.162368,0.167432,0.161144,0.159791,0.165616,0.163428,0.16413,0.165559,0.160741,0.159791,0.212078,0.163779,0.1682287,0.01559557136
21,1.22391,0.914957,0.923005,0.918005,0.917709,0.918943,0.91373,0.918058,0.915997,0.917812,0.91373,1.22391,0.9179085,0.9482126,0.09690228959
22,0.245751,0.233184,0.235337,0.229953,0.229413,0.236251,0.234166,0.232859,0.230154,0.229082,0.229082,0.245751,0.2330215,0.233615,0.004964885945
SUM,19.1597772,15.1134754,14.9237301,14.9093263,14.9295101,15.0175891,14.8830002,14.8416077,14.9518723,14.9733261,14.6374081,19.1831502,14.9373802,15.37032145,1.33359852
