Query,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,min,max,median,avg,stddev
1,6788.469,6894.562,6431.764,6631.88,7540.76,6654.321,7155.547,6932.519,6384.499,6981.671,6384.499,7540.76,6841.5155,6839.5992,345.9004661
2,226.664,161.471,165.423,156.391,160.446,159.908,159.592,160.869,156.438,165.514,156.391,226.664,160.6575,167.2716,21.09277371
3,988.254,957.155,1001.975,992.199,939.745,1004.278,995.526,1001.521,937.321,960.45,937.321,1004.278,990.2265,977.8424,26.44277334
4,805.213,827.04,812.452,801.173,823.65,808.206,795.806,810.57,762.984,802.931,762.984,827.04,806.7095,805.0025,17.63602887
5,1125.474,1380.595,1350.387,1363.325,1362.869,1029.521,990.534,1003.46,1027.424,1024.299,990.534,1380.595,1077.4975,1165.7888,174.6433243
6,239.38,236.999,216.91,222.803,224.449,582.757,246.897,242.132,231.424,224.458,216.91,582.757,234.2115,266.8209,111.4231568
7,1256.867,1392.464,1256.094,1263.157,1240.762,1253.408,1255.18,1265.289,1259.617,1240.703,1240.703,1392.464,1256.4805,1268.3541,44.37356887
8,781.458,765.337,806.722,762.101,777.345,817.029,790.109,766.566,1239.385,790.868,762.101,1239.385,785.7835,829.692,145.0563768
9,14207.07,11759.923,16564.271,12535.082,11822.415,11774.101,13997.764,11839.554,11803.193,11809.353,11759.923,16564.271,11830.9845,12811.2726,1620.71641
10,879.869,867.007,876.007,853.459,855.674,902.51,872.581,894.649,857.326,1042.536,853.459,1042.536,874.294,890.1618,55.93322691
11,184.567,184.313,181.823,183.968,227.711,231.317,184.466,184.656,229.403,186.013,181.823,231.317,184.6115,197.8237,21.88326371
12,466.401,457.005,445.202,567.528,490.77,425.908,462.376,449.829,591.489,441.491,425.908,591.489,459.6905,479.7999,55.53870142
13,5764.446,5967.798,5525.023,5640.228,5768.33,5570.638,5589.438,5531.99,5556.425,5974.477,5525.023,5974.477,5614.833,5688.8793,172.1201888
14,276.466,316.311,213.428,217.524,333.259,324.542,218.927,336.556,356.176,221.15,213.428,356.176,296.3885,281.4339,58.36723561
15,393.281,370.641,377.772,380.427,361.673,386.148,416.651,395.555,402.204,350.179,350.179,416.651,383.2875,383.4531,19.69524329
16,2719.825,3214.786,2744.332,2740.978,2828.222,2752.092,2854.673,2746.485,2843.495,2865.563,2719.825,3214.786,2790.157,2831.0451,145.5086743
17,1659.778,1625.169,1640.434,1636.057,1630.915,2188.09,2221.592,1683.815,1810.209,1627.133,1625.169,2221.592,1650.106,1772.3192,234.5998991
18,1188.726,1066.464,1203.972,1058.344,1054.254,1065.74,1067.648,1074.483,1053.796,1055.145,1053.796,1203.972,1066.102,1088.8572,57.16617057
19,2302.936,2213.299,2213.668,2195.653,2690.947,2209.242,2208.39,2494.053,2204.428,2202.08,2195.653,2690.947,2211.2705,2293.4696,167.0956468
20,617.008,542.047,570.374,485.654,648.108,459.098,553.67,470.4,460.769,452.912,452.912,648.108,513.8505,526.004,70.69259193
21,2715.531,3015.545,2750.181,2647.108,2787.128,2914.696,2776.976,2640.751,3635.267,3308.992,2640.751,3635.267,2782.052,2919.2175,322.0213
22,687.139,720.831,675.761,751.498,689.291,711.911,675.429,692.414,796.547,677.166,675.429,796.547,690.8525,707.7987,39.42822254
SUM,46274.822,44936.762,48023.975,44086.537,45258.723,44225.461,46489.772,43618.116,44599.819,44405.084,42124.721,53782.079,43501.562,45191.9071,1356.042789
