Query,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,min,max,median,avg,stddev
1,4070.815,3610.714,3672.932,3633.833,3900.62,3455.946,3569.904,3616.546,3720.301,3659.822,3455.946,4070.815,3646.8275,3691.1433,174.9694488
2,150.802,124.249,139.301,122.017,125.125,124.265,124.4,120.924,126.981,124.605,120.924,150.802,124.5025,128.2669,9.39626256
3,675.206,637.699,677.004,654.635,633.887,724.97,729.875,735.359,633.815,730.315,633.815,735.359,676.105,683.2765,43.10563173
4,588.726,573.676,566.944,577.281,555.956,567.366,572.574,575.589,591.659,582.849,555.956,591.659,574.6325,575.262,10.67648028
5,794.207,788.569,815.535,790.375,794.983,816.545,799.593,782.749,792.786,784.533,782.749,816.545,793.4965,795.9875,11.66734163
6,153.401,142.692,139.485,138.148,139.741,140.062,138.224,137.237,140.585,140.449,137.237,153.401,139.9015,141.0024,4.617404663
7,878.505,873.84,874.02,891.297,931.671,918.819,892.659,918.676,889.072,886.25,873.84,931.671,890.1845,895.4809,20.44296817
8,544.878,557.954,511.566,527.198,517.74,544.062,535.688,528.252,529.298,520.551,511.566,557.954,528.775,531.7187,14.11908858
9,9493.525,9501.031,9579.492,11661.032,9752.384,9419.719,9397.795,9487.311,9620.761,9514.534,9397.795,11661.032,9507.7825,9742.7584,681.7175136
10,766.408,722.075,708.107,698.216,726.138,726.941,664.581,704.472,662.976,667.943,662.976,766.408,706.2895,704.7857,33.03054082
11,109.935,103.752,104.195,104.646,105.728,104.075,107.272,106.468,106.19,102.211,102.211,109.935,105.187,105.4472,2.175173801
12,467.808,310.964,310.679,317.048,311.21,318.126,316.254,319.819,309.611,305.452,305.452,467.808,313.732,328.6971,49.08322965
13,6690.233,6210.317,6098.986,6255.099,6719.146,6376.122,6194.088,6407.632,6405.712,6250.389,6098.986,6719.146,6315.6105,6360.7724,206.4867288
14,346.177,180.481,182.293,180.194,194.015,179.863,182.99,188.088,178.853,177.772,177.772,346.177,181.387,199.0726,51.91847873
15,440.848,411.843,421.977,399.871,396.415,409.696,410.631,419.561,416.275,401.319,396.415,440.848,411.237,412.8436,12.95878605
16,2729.827,2701.918,2710.692,2722.539,2721.007,2723.035,2908.3,2883.433,2802.919,2736.305,2701.918,2908.3,2726.431,2763.9975,74.89080074
17,1574.657,1571.49,1564.01,1544.288,1604.493,1556.618,1553.888,1573.629,1575.496,1545.914,1544.288,1604.493,1567.75,1566.4483,17.7848301
18,1330.983,1204.456,1203.299,1255.901,1206.151,1233.476,1221.889,1212.908,1214.1,1231.882,1203.299,1330.983,1217.9945,1231.5045,38.59528801
19,965.823,964.253,965.73,968.972,973.955,955.683,967.257,948.167,959.354,945.859,945.859,973.955,964.9915,961.5053,9.12331196
20,493.908,421.929,415.048,425.903,428.085,424.51,424.039,406.505,430.613,425.396,406.505,493.908,424.953,429.5936,23.64317629
21,2084.867,2090.68,1985.825,2162.214,2077.642,1994.372,2076.881,2098.507,1987.594,2035.128,1985.825,2162.214,2077.2615,2059.371,57.49645697
22,704.981,675.878,692.743,685.172,699.018,696.373,697.703,674.729,670.886,700.312,670.886,704.981,694.558,689.7795,12.20368851
SUM,36056.52,34380.46,34339.863,36715.879,35515.11,34410.644,34486.485,34846.561,34765.837,34469.79,33672.22,38698.394,34589.59,34998.7149,824.3478468
