Query,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,min,max,median,avg,stddev
1,0.40448,0.335765,0.335711,0.338366,0.337804,0.335455,0.336051,0.335399,0.335729,0.336394,0.335399,0.40448,0.335908,0.3431154,0.02158472158
2,0.291487,0.0316875,0.0298495,0.0281613,0.0268843,0.0256763,0.0254595,0.0260335,0.0253916,0.0253676,0.0253676,0.291487,0.0264589,0.05359981,0.0836126251
3,0.527381,0.500364,0.49409,0.48919,0.493935,0.496415,0.49635,0.49529,0.49513,0.493203,0.48919,0.527381,0.49521,0.4981348,0.01065575121
4,0.372638,0.362998,0.359853,0.360674,0.359169,0.362031,0.363426,0.365426,0.364984,0.362194,0.359169,0.372638,0.362596,0.3633393,0.003848838989
5,0.407367,0.405551,0.404936,0.405342,0.403898,0.404047,0.409427,0.402521,0.405126,0.402835,0.402521,0.409427,0.405031,0.405105,0.002067918546
6,0.119546,0.103938,0.103625,0.103037,0.103468,0.102994,0.103442,0.084907,0.0839061,0.0844869,0.0839061,0.119546,0.1032395,0.099335,0.01142999303
7,0.352493,0.35489,0.351875,0.352683,0.352001,0.356907,0.352508,0.350885,0.352047,0.361702,0.350885,0.361702,0.3525005,0.3537991,0.003273133173
8,0.227095,0.221176,0.221525,0.221507,0.22168,0.22181,0.221563,0.221996,0.221411,0.221477,0.221176,0.227095,0.221544,0.222124,0.001760771611
9,1.15461,0.991677,0.9889,1.01935,0.988007,1.01278,0.995179,0.986139,1.01357,0.998705,0.986139,1.15461,0.996942,1.0148917,0.05051059446
10,0.394192,0.396023,0.394406,0.396217,0.39388,0.399865,0.394157,0.39614,0.393574,0.393846,0.393574,0.399865,0.394299,0.39523,0.00192360726
11,0.0487068,0.0480257,0.0483124,0.0478754,0.0483549,0.048123,0.047714,0.048213,0.0496338,0.0480155,0.047714,0.0496338,0.048168,0.04829745,0.0005443009099
12,0.202091,0.198565,0.202117,0.198834,0.198503,0.198536,0.198862,0.199078,0.198601,0.198778,0.198503,0.202117,0.198806,0.1993965,0.001437998088
13,1.68678,1.65743,1.66689,1.65781,1.66419,1.65843,1.66828,1.65736,1.66415,1.66191,1.65736,1.68678,1.66303,1.664323,0.008854238219
14,0.224453,0.131769,0.129956,0.130017,0.130095,0.130054,0.130348,0.129991,0.130304,0.130268,0.129956,0.224453,0.1301815,0.1397255,0.02977497954
15,0.170406,0.169732,0.169849,0.169561,0.170625,0.170031,0.17046,0.172363,0.17056,0.175993,0.169561,0.175993,0.170433,0.170958,0.001934802488
16,0.350412,0.323899,0.326593,0.325372,0.324131,0.324572,0.323469,0.328506,0.327112,0.324582,0.323469,0.350412,0.324977,0.3278648,0.008081506994
17,0.334019,0.251752,0.251784,0.25205,0.251715,0.252833,0.251904,0.251769,0.254049,0.251697,0.251697,0.334019,0.251844,0.2603572,0.02589278536
18,1.07287,1.07252,1.07424,1.082,1.07428,1.07568,1.07182,1.07268,1.07074,1.0721,1.07074,1.082,1.072775,1.073893,0.003180559175
19,0.753507,0.751639,0.748955,0.74994,0.75522,0.751027,0.751,0.749283,0.758388,0.760578,0.748955,0.760578,0.751333,0.7529537,0.003956814152
20,0.131175,0.130508,0.129548,0.130393,0.130183,0.129376,0.129608,0.129477,0.129798,0.129699,0.129376,0.131175,0.1297485,0.1299765,0.0005747832925
21,0.634778,0.628245,0.627663,0.627957,0.628389,0.632075,0.627558,0.627906,0.629649,0.628817,0.627558,0.634778,0.628317,0.6293037,0.002344455068
22,0.136032,0.134687,0.141499,0.136056,0.136176,0.135142,0.135975,0.135091,0.136949,0.135994,0.134687,0.141499,0.136013,0.1363601,0.001919638071
SUM,9.9965188,9.2028412,9.2021769,9.2223927,9.1925882,9.2238593,9.2045605,9.1664535,9.2108025,9.198642,9.1369027,,9.1993549,9.28208356,0.2515437315
