Query,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,min,max,median,avg,stddev
1,6853.675,7039.023,6981.058,8114.403,6548.736,8211.014,6866.171,7180.159,7106.088,6534.022,6534.022,8211.014,7010.0405,7143.4349,578.1582514
2,175.359,155.855,154.764,154.005,154.961,160.62,154.084,154.953,154.255,155.167,154.005,175.359,154.957,157.4023,6.59600278
3,1053.603,1031.26,1034.508,1027.771,1036.949,957.354,1035.662,1179.864,1037.493,1031.565,957.354,1179.864,1035.085,1042.6029,54.6415082
4,998.335,1032.684,1049.213,1109.027,1027.926,1052.085,1072.417,1054.114,1034.575,1071.033,998.335,1109.027,1050.649,1050.1409,30.08339695
5,1392.169,1008.466,1374.004,1162.17,1301.265,1077.56,1011.653,1304.783,1173.814,1345.539,1008.466,1392.169,1237.5395,1215.1423,147.7976607
6,341.202,341.557,245.764,309.833,318.093,229.437,245.992,218.915,318.027,223.391,218.915,341.557,277.9125,279.2211,50.70310127
7,1931.526,1917.016,1917.518,1854.092,1976.122,1928.979,1918.436,1812.488,1887.857,1724.578,1724.578,1976.122,1917.267,1886.8612,72.66703759
8,1067.692,1062.459,880.971,1057.595,1060.914,1031.911,1052.024,1036.302,1071.057,1075.27,880.971,1075.27,1059.2545,1039.6195,57.483526
9,15119.065,15539.207,14888.792,14863.446,17046.4,14855.586,14763.739,11216.12,14804.264,16504.796,11216.12,17046.4,14876.119,14960.1415,1534.960982
10,1173.17,1136.386,1022.725,1092.738,1151.4,1152.4,1013.885,1131.11,1132.36,1154.404,1013.885,1173.17,1134.373,1116.0578,55.6793727
11,186.644,223.38,178.14,176.284,184.481,177.226,176.808,177.822,211.379,192.997,176.284,223.38,181.3105,188.5161,16.3783951
12,610.471,577.196,573.273,558.358,600.937,601.546,581.412,605.491,608.987,585.866,558.358,610.471,593.4015,590.3537,17.66041068
13,4830.073,4979.981,4895.547,4721.022,4816.297,4721.975,4729.839,4726.903,4740.04,4697.572,4697.572,4979.981,4734.9395,4785.9249,92.72967997
14,217.662,214.296,212.542,209.147,212.444,227.039,212.395,214.443,211.422,209.835,209.147,227.039,212.493,214.1225,5.144872426
15,385.191,349.813,344.426,343.342,382.309,361.633,352.829,356.296,335.825,367.801,335.825,385.191,354.5625,357.9465,16.42159324
16,2386.875,2365.239,2353.872,2230.659,2385.594,2362.053,2393.203,2637.611,2426.638,3185.841,2230.659,3185.841,2386.2345,2472.7585,269.9084455
17,1744.613,1731.339,1760.296,1757.549,2293.995,1780.593,1692.45,1658.208,1681.561,2338.5,1658.208,2338.5,1751.081,1843.9104,252.0954466
18,1091.86,1099.618,1065.74,1051.789,1058.98,1087.238,1043.277,1080.061,1087.773,1053.698,1043.277,1099.618,1072.9005,1072.0034,19.66469978
19,2202.149,2196.358,2191.503,2200.709,2189.905,2190.969,2192.309,2190.485,2198.392,2191.736,2189.905,2202.149,2192.0225,2194.4515,4.555333681
20,465.721,464.27,456.546,465.608,463.781,465.875,461.796,479.24,464.737,472.537,456.546,479.24,465.1725,466.0111,6.09954123
21,2717.082,2730.622,2792.49,2843.761,2664.544,2759.605,2758.123,2773.374,2768.964,2778.723,2664.544,2843.761,2764.2845,2758.7288,47.70937751
22,702.054,694.42,699.167,703.153,694.995,701.476,699.25,696.418,690.56,701.595,690.56,703.153,699.2085,698.3088,4.077969124
SUM,47646.191,47890.445,47072.859,48006.461,49571.028,48094.174,46427.754,43885.16,47146.068,49596.466,41617.536,52958.276,47160.808,47533.6606,1632.341805
