Query,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,min,max,median,avg,stddev
1,10852.622,10143.599,10432.035,9342.051,9217.487,9317.968,9211.138,9085.723,9546.736,9536.375,9085.723,10852.622,9439.213,9668.5734,598.5906123
2,259.609,211.204,203.382,205.373,204.988,206.996,208.149,209.775,205.655,208.965,203.382,259.609,207.5725,212.4096,16.75715126
3,1551.246,1425.915,1308.757,1407.344,1405.03,1395.605,1409.723,1397.066,1401.593,1404.905,1308.757,1551.246,1404.9675,1410.7184,58.64362883
4,1123.606,1012.387,1016.493,1012.348,1004.417,1021.058,1017.537,1021.711,1016.84,997.633,997.633,1123.606,1016.6665,1024.403,35.64073902
5,1437.798,1407.207,1391.274,1400.534,1405.227,1392.264,1431.84,1410.175,1413.856,1488.089,1391.274,1488.089,1408.691,1417.8264,28.93555411
6,662.419,312.05,305.524,309.475,316.847,313.067,323.382,315.825,310.362,309.774,305.524,662.419,312.5585,347.8725,110.6294517
7,2007.932,1833.711,1782.737,1815.797,1756.512,1790.689,1734.001,1738.712,1771.304,1794.814,1734.001,2007.932,1786.713,1802.6209,78.7339798
8,1121.757,1019.717,1030.368,1023.659,1019.045,1025.318,1026.486,1032.446,1170.339,1029.985,1019.045,1170.339,1028.2355,1049.912,52.1278906
9,17963.585,20894.606,17230.316,17400.148,18029.015,21699.53,17176.128,17088.48,19386.501,17106.167,17088.48,21699.53,17681.8665,18397.4476,1688.884583
10,1151.157,1125.397,1167.332,1131.656,1155.476,1133.629,1161.243,1152.962,1129.149,1156.373,1125.397,1167.332,1152.0595,1146.4374,15.00066543
11,243.135,227.87,229.133,227.423,227.995,233.753,233.315,248.879,232.3,229.435,227.423,248.879,230.8675,233.3238,7.188736588
12,881.871,630.152,637.541,629.816,591.023,625.419,630.467,698.321,684.78,641.949,591.023,881.871,634.004,665.1339,81.9917416
13,7364.002,7491.463,7024.6,7311.012,6938.332,7036.883,7241.671,7189.566,7042.907,7172.516,6938.332,7491.463,7181.041,7181.2952,174.4176611
14,529.705,267.075,267.356,264.843,267.644,268.278,272.841,268.813,270.532,269.626,264.843,529.705,268.5455,294.6713,82.61054329
15,545.544,449.947,447.105,439.968,434.912,439.873,453.1,461.478,450.991,443.383,434.912,545.544,448.526,456.6301,32.17042061
16,3517.179,3471.742,3464.448,3395.363,3389.754,3388.085,3618.628,3588.756,3369.95,3449.299,3369.95,3618.628,3456.8735,3465.3204,86.53368264
17,2111.551,2040.065,2119.212,2114.036,2133.445,2052.912,2055.546,1995.257,2002.029,2026.762,1995.257,2133.445,2054.229,2065.0815,50.92908693
18,1796.853,1430.162,1479.714,1477.17,1472.488,1498.283,1461.847,1467.16,1446.57,1489.168,1430.162,1796.853,1474.829,1501.9415,105.4936326
19,2798.688,2855.218,2784.004,2743.922,2784.109,2750.709,2753.436,2747.78,2754.755,2744.248,2743.922,2855.218,2754.0955,2771.6869,35.22578481
20,791.657,1004.28,623.747,633.586,640.412,638.668,635.403,645.402,640.464,653.319,623.747,1004.28,640.438,690.6938,120.4327009
21,4017.242,3723.907,3761.556,3841.47,3770.613,3758.446,3987.477,3690.438,3745.742,3721.378,3690.438,4017.242,3760.001,3801.8269,113.0465465
22,959.725,919.398,934.497,931.021,934.726,927.887,928.315,931.764,949.266,951.31,919.398,959.725,933.1305,936.7909,12.53495501
SUM,63688.883,63897.072,59641.131,59058.015,59099.497,62915.32,58971.673,58386.489,60942.621,58825.473,,,59275.124,60542.6174,2162.964344
